Class,Base P,Base R,Base F1,DCEC P,DCEC R,DCEC F1,ΔF1,Improved
0,0,0,0.0,0.633,0.629,0.631,0.631,✓
1,0,0,0.0,0.684,0.679,0.681,0.681,✓
2,0,0,0.0,0.683,0.738,0.71,0.71,✓
anger,0.819,0.798,0.808,0.942,0.879,0.91,0.102,✓
boredom,0,0,0.0,0.0,0.0,0.0,0.0,=
empty,0,0,0.0,1.0,0.008,0.016,0.016,✓
enthusiasm,0,0,0.0,0.0,0.0,0.0,0.0,=
fear,0.792,0.776,0.784,0.906,0.843,0.873,0.089,✓
fun,0,0,0.0,0.176,0.083,0.113,0.113,✓
happiness,0,0,0.0,0.322,0.412,0.361,0.361,✓
hate,0,0,0.0,0.262,0.251,0.256,0.256,✓
joy,0.844,0.821,0.832,0.939,0.951,0.945,0.113,✓
love,0.785,0.761,0.773,0.57,0.521,0.544,-0.229,✗
n,0,0,0.0,0.669,0.576,0.619,0.619,✓
negative,0.897,0.921,0.909,0.876,0.846,0.861,-0.048,✗
neutral,0.856,0.842,0.849,0.456,0.521,0.486,-0.363,✗
no,0,0,0.0,0.852,0.933,0.89,0.89,✓
not sure,0,0,0.0,0.0,0.0,0.0,0.0,=
positive,0.871,0.863,0.867,0.683,0.644,0.663,-0.204,✗
relief,0,0,0.0,0.192,0.066,0.098,0.098,✓
sadness,0.831,0.847,0.839,0.646,0.659,0.652,-0.187,✗
surprise,0.741,0.718,0.729,0.495,0.25,0.332,-0.397,✗
worry,0,0,0.0,0.357,0.424,0.387,0.387,✓
y,0,0,0.0,0.808,0.903,0.853,0.853,✓
yes,0,0,0.0,0.677,0.426,0.523,0.523,✓
MACRO AVG,—,—,0.795,0.553,0.49,0.496,-0.298,✗
